Gene symbol	Aliases	Description	Disease count
IL9R	CD129, IL-9R	interleukin 9 receptor	2	
IL10	CSIF, GVHDS, IL-10, IL10A, TGIF	interleukin 10	28	
IL10RA	CD210, CD210a, CDW210A, HIL-10R, IL-10R1, IL10R	interleukin 10 receptor, alpha	5	
IL10RB	CDW210B, CRF2-4, CRFB4, D21S58, D21S66, IL-10R2	interleukin 10 receptor, beta	6	
IL11	AGIF, IL-11	interleukin 11	7	
IL12A	CLMF, IL-12A, NFSK, NKSF1, P35	interleukin 12A	8	
IL12B	CLMF, CLMF2, IL-12B, IMD28, IMD29, NKSF, NKSF2	interleukin 12B	15	
IL12RB1	CD212, IL-12R-BETA1, IL12RB, IMD30	interleukin 12 receptor, beta 1	3	
IL12RB2		interleukin 12 receptor, beta 2	12	
IL13	IL-13, P600	interleukin 13	12	
IL13RA1	CD213A1, CT19, IL-13Ra, NR4	interleukin 13 receptor, alpha 1	2	
IL13RA2	CD213A2, CT19, IL-13R, IL13BP	interleukin 13 receptor, alpha 2	2	
IL15	IL-15	interleukin 15	18	
IL15RA	CD215	interleukin 15 receptor, alpha	2	
IL16	LCF, NIL16, PRIL16, prIL-16	interleukin 16	11	
TNFRSF9	4-1BB, CD137, CDw137, ILA	tumor necrosis factor receptor superfamily, member 9	7	
IL17A	CTLA8, IL-17, IL-17A, IL17	interleukin 17A	27	
IL18	IGIF, IL-18, IL-1g, IL1F4	interleukin 18	23	
IDO1	IDO, IDO-1, INDO	indoleamine 2,3-dioxygenase 1	8	
INHBA	EDF, FRP	inhibin, beta A	1	
CXCL10	C7, IFI10, INP10, IP-10, SCYB10, crg-2, gIP-10, mob-1	chemokine (C-X-C motif) ligand 10	25	
INS	IDDM, IDDM1, IDDM2, ILPR, IRDN, MODY10	insulin	21	
INPP5B	5PTase	inositol polyphosphate-5-phosphatase, 75kDa	1	
INPP5D	SHIP, SHIP-1, SHIP1, SIP-145, hp51CN, p150Ship	inositol polyphosphate-5-phosphatase, 145kDa	5	
INSL4	EPIL, PLACENTIN	insulin-like 4 (placenta)	1	
INSR	CD220, HHF5	insulin receptor	2	
INSRR	IRR	insulin receptor-related receptor	4	
IRAK1	IRAK, pelle	interleukin-1 receptor-associated kinase 1	5	
IRAK2	IRAK-2	interleukin-1 receptor-associated kinase 2	1	
IRF1	IRF-1, MAR	interferon regulatory factor 1	7	
IRF2	IRF-2	interferon regulatory factor 2	3	
IRF3		interferon regulatory factor 3	2	
IRF4	LSIRF, MUM1, NF-EM5, SHEP8	interferon regulatory factor 4	4	
IRF5	SLEB10	interferon regulatory factor 5	12	
IRF7	IMD39, IRF-7H, IRF7A, IRF7B, IRF7C, IRF7H	interferon regulatory factor 7	2	
IRS1	HIRS-1	insulin receptor substrate 1	2	
ISG20	CD25, HEM45	interferon stimulated exonuclease gene 20kDa	3	
ITGA2	BR, CD49B, GPIa, HPA-5, VLA-2, VLAA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	1	
ITGA2B	BDPLT16, BDPLT2, CD41, CD41B, GP2B, GPIIb, GT, GTA, HPA3, PPP1R93	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	3	
ITGA4	CD49D, IA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	3	
ITGAE	CD103, HUMINAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	6	
ITGAL	CD11A, LFA-1, LFA1A	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	5	
ITGAM	CD11B, CR3A, MAC-1, MAC1A, MO1A, SLEB6	integrin, alpha M (complement component 3 receptor 3 subunit)	11	
ITGAV	CD51, MSK8, VNRA, VTNR	integrin, alpha V	3	
ITGAX	CD11C, SLEB6	integrin, alpha X (complement component 3 receptor 4 subunit)	8	
ITGB1	CD29, FNRB, GPIIA, MDF2, MSK12, VLA-BETA, VLAB	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	5	
ITGB2	CD18, LAD, LCAMB, LFA-1, MAC-1, MF17, MFI7	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	13	
ITGB3	BDPLT16, BDPLT2, CD61, GP3A, GPIIIa, GT	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	5	
ITIH4	GP120, H4P, IHRP, ITI-HC4, ITIHL1, PK-120, PK120	inter-alpha-trypsin inhibitor heavy chain family, member 4	1	
ITK	EMT, LPFS1, LYK, PSCTK2	IL2-inducible T-cell kinase	6	
ITPA	C20orf37, HLC14-06-P, My049, dJ794I6.3	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	2	
ITPKA	IP3-3KA, IP3KA	inositol-trisphosphate 3-kinase A	1	
ITPR3	IP3R, IP3R3	inositol 1,4,5-trisphosphate receptor, type 3	6	
IVL		involucrin	1	
JAK1	JAK1A, JAK1B, JTK3	Janus kinase 1	8	
JAK2	JTK10, THCYT3	Janus kinase 2	9	
JAK3	JAK-3, JAK3_HUMAN, JAKL, L-JAK, LJAK	Janus kinase 3	3	
JARID2	JMJ	jumonji, AT rich interactive domain 2	1	
JUN	AP-1, AP1, c-Jun	jun proto-oncogene	8	
JUNB	AP-1	jun B proto-oncogene	3	
JUND	AP-1	jun D proto-oncogene	1	
ANOS1	ADMLX, HH1, HHA, KAL, KAL1, KALIG-1, KMS, WFDC19	anosmin 1	1	
KARS	CMTRIB, DFNB89, KARS1, KARS2, KRS	lysyl-tRNA synthetase	1	
KCNA3	HGK5, HLK3, HPCN3, HUKIII, KV1.3, MK3, PCN3	potassium channel, voltage gated shaker related subfamily A, member 3	3	
KCNA4	HBK4, HK1, HPCN2, HUKII, KCNA4L, KCNA8, KV1.4, PCN2	potassium channel, voltage gated shaker related subfamily A, member 4	1	
KCNH2	ERG-1, ERG1, H-ERG, HERG, HERG1, Kv11.1, LQT2, SQT1	potassium channel, voltage gated eag related subfamily H, member 2	1	
KCNJ2	ATFB9, HHBIRK1, HHIRK1, IRK1, KIR2.1, LQT7, SQT3	potassium channel, inwardly rectifying subfamily J, member 2	1	
KCNJ3	GIRK1, KGA, KIR3.1	potassium channel, inwardly rectifying subfamily J, member 3	1	
KCNJ10	BIRK-10, KCNJ13-PEN, KIR1.2, KIR4.1, SESAME	potassium channel, inwardly rectifying subfamily J, member 10	1	
KCNJ16	BIR9, KIR5.1	potassium channel, inwardly rectifying subfamily J, member 16	1	
KCNK1	DPK, HOHO, K2P1, K2p1.1, KCNO1, TWIK-1, TWIK1	potassium channel, two pore domain subfamily K, member 1	1	
KCNK3	K2p3.1, OAT1, PPH4, TASK, TASK-1, TBAK1	potassium channel, two pore domain subfamily K, member 3	1	
KCNN2	KCa2.2, SK2, SKCA2, SKCa 2, hSK2	potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 2	1	
KCNN4	IK, IK1, IKCA1, KCA4, KCa3.1, SK4, hIKCa1, hKCa4, hSK4	potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 4	3	
KCNQ1	ATFB1, ATFB3, JLNS1, KCNA8, KCNA9, KVLQT1, Kv1.9, Kv7.1, LQT, LQT1, RWS, SQT2, WRS	potassium channel, voltage gated KQT-like subfamily Q, member 1	1	
KDR	CD309, FLK1, VEGFR, VEGFR2	kinase insert domain receptor	4	
KIF5A	D12S1889, MY050, NKHC, SPG10	kinesin family member 5A	2	
KIR2DL1	CD158A, KIR-K64, KIR221, NKAT, NKAT-1, NKAT1, p58.1	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1	4	
KIR2DL2	CD158B1, CD158b, NKAT-6, NKAT6, p58.2	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2	6	
KIR2DL3	CD158B2, CD158b, GL183, KIR-023GB, KIR-K7b, KIR-K7c, KIR2DS5, KIRCL23, NKAT, NKAT2, NKAT2A, NKAT2B, p58	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	5	
KIR2DL4	CD158D, G9P, KIR-103AS, KIR103, KIR103AS	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4	8	
KIR2DS1	CD158H, CD158a, p50.1	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1	5	
KIR2DS3	NKAT7	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3	4	
KIR2DS4	CD158I, KIR1D, KIR2DS1, KIR412, KKA3, NKAT-8, NKAT8	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4	1	
KIR2DS5	CD158G, NKAT9	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5	2	
KIR3DL1	CD158E1, KIR, KIR3DL1/S1, NKAT-3, NKAT3, NKB1, NKB1B	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	12	
KIR3DL2	CD158K, NKAT-4, NKAT4, NKAT4B, p140	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	2	
KIR3DS1	CD158E2, KIR-123FM, KIR-G1, NKAT-10, NKAT10	killer cell immunoglobulin-like receptor, three domains, short cytoplasmic tail, 1	2	
KIT	C-Kit, CD117, PBT, SCFR	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	7	
KLK1	KLKR, Klk6, hK1	kallikrein 1	1	
KLK2	KLK2A2, hGK-1, hK2	kallikrein-related peptidase 2	1	
KLRB1	CD161, CLEC5B, NKR, NKR-P1, NKR-P1A, NKRP1A, hNKR-P1A	killer cell lectin-like receptor subfamily B, member 1	6	
KLRC1	CD159A, NKG2, NKG2A	killer cell lectin-like receptor subfamily C, member 1	5	
KLRC2	CD159c, NKG2-C, NKG2C	killer cell lectin-like receptor subfamily C, member 2	4	
KLRD1	CD94	killer cell lectin-like receptor subfamily D, member 1	5	
KNG1	BDK, BK, KNG	kininogen 1	9	
KPNB1	IMB1, IPO1, IPOB, Impnb, NTF97	karyopherin (importin) beta 1	1	
KPNA2	IPOA1, QIP2, RCH1, SRP1alpha	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	1	
TNPO1	IPO2, KPNB2, MIP, MIP1, TRN	transportin 1	1	
KRAS	C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, KI-RAS, KRAS1, KRAS2, NS, NS3, RASK2	Kirsten rat sarcoma viral oncogene homolog	4	
KRT1	CK1, EHK, EHK1, EPPK, K1, KRT1A, NEPPK	keratin 1, type II	1	
KRT7	CK7, K2C7, K7, SCL	keratin 7, type II	4	
KRT8	CARD2, CK-8, CK8, CYK8, K2C8, K8, KO	keratin 8, type II	2	
KRT10	BCIE, BIE, CK10, EHK, K10, KPP	keratin 10, type I	3	
KRT14	CK14, EBS3, EBS4, K14, NFJ	keratin 14, type I	2	
KRT15	CK15, K15, K1CO	keratin 15, type I	1	
KRT16	CK16, FNEPPK, K16, K1CP, KRT16A, NEPPK, PC1	keratin 16, type I	2	
KRT17	K17, PC, PC2, PCHC1	keratin 17, type I	1	
KRT18	CYK18, K18	keratin 18, type I	1	
KRT83	HB3, Hb-3, KRTHB3	keratin 83, type II	1	
L1CAM	CAML1, CD171, HSAS, HSAS1, MASA, MIC5, N-CAM-L1, N-CAML1, NCAM-L1, S10, SPG1	L1 cell adhesion molecule	2	
AFF3	LAF4, MLLT2-like	AF4/FMR2 family, member 3	2	
LAG3	CD223	lymphocyte-activation gene 3	1	
LAIR1	CD305, LAIR-1	leukocyte-associated immunoglobulin-like receptor 1	3	
LALBA		lactalbumin, alpha-	1	
LAMA2	LAMM	laminin, alpha 2	1	
LAMA3	BM600, E170, LAMNA, LOCS	laminin, alpha 3	1	
LAMB1	CLM, LIS5	laminin, beta 1	2	
LAMP1	CD107a, LAMPA, LGP120	lysosomal-associated membrane protein 1	2	
LAMC2	B2T, BM600, CSF, EBR2, EBR2A, LAMB2T, LAMNB2	laminin, gamma 2	3	
LAMP2	CD107b, LAMP-2, LAMPB, LGP110	lysosomal-associated membrane protein 2	2	
LBP	BPIFD2	lipopolysaccharide binding protein	5	
LBR	DHCR14B, LMN2R, PHA, TDRD18	lamin B receptor	2	
LCK	IMD22, LSK, YT16, p56lck, pp58lck	LCK proto-oncogene, Src family tyrosine kinase	2	
LCN2	24p3, MSFI, NGAL	lipocalin 2	9	
LCP1	CP64, HEL-S-37, L-PLASTIN, LC64P, LPL, PLS2	lymphocyte cytosolic protein 1 (L-plastin)	1	
LCT	LAC, LPH, LPH1	lactase	5	
LDHA	GSD11, HEL-S-133P, LDH1, LDHM, PIG19	lactate dehydrogenase A	1	
LDLR	FH, FHC, LDLCQ2	low density lipoprotein receptor	2	
LECT2	chm-II, chm2	leukocyte cell-derived chemotaxin 2	1	
LEP	LEPD, OB, OBS	leptin	15	
LEPR	CD295, LEP-R, LEPRD, OB-R, OBR	leptin receptor	3	
LGALS1	GAL1, GBP	lectin, galactoside-binding, soluble, 1	2	
LGALS3	CBP35, GAL3, GALBP, GALIG, L31, LGALS2, MAC2	lectin, galactoside-binding, soluble, 3	1	
LGALS3BP	90K, BTBD17B, CyCAP, M2BP, MAC-2-BP, TANGO10B, gp90	lectin, galactoside-binding, soluble, 3 binding protein	1	
LGALS9	HUAT, LGALS9A	lectin, galactoside-binding, soluble, 9	6	
LIF	CDF, DIA, HILDA, MLPLI	leukemia inhibitory factor	5	
LIFR	CD118, LIF-R, SJS2, STWS, SWS	leukemia inhibitory factor receptor alpha	2	
LIG4	LIG4S	ligase IV, DNA, ATP-dependent	4	
LIPE	AOMS4, FPLD6, HSL, LHS	lipase, hormone-sensitive	1	
FADS1	D5D, FADS6, FADSD5, LLCDL1, TU12	fatty acid desaturase 1	4	
FADS3	CYB5RP, LLCDL3	fatty acid desaturase 3	1	
LMNA	CDCD1, CDDC, CMD1A, CMT2B1, EMD2, FPL, FPLD, FPLD2, HGPS, IDC, LDP1, LFP, LGMD1B, LMN1, LMNC, LMNL1, PRO1	lamin A/C	1	
LMNB1	ADLD, LMN, LMN2, LMNB	lamin B1	1	
LMO2	RBTN2, RBTNL1, RHOM2, TTG2	LIM domain only 2 (rhombotin-like 1)	1	
LMO7	FBX20, FBXO20, LOMP	LIM domain 7	1	
LMX1A	LMX1, LMX1.1	LIM homeobox transcription factor 1, alpha	1	
LMX1B	LMX1.2, NPS1	LIM homeobox transcription factor 1, beta	1	
LNPEP	CAP, IRAP, P-LAP, PLAP	leucyl/cystinyl aminopeptidase	2	
LOR		loricrin	3	
LOX		lysyl oxidase	5	
LPA	AK38, APOA, LP	lipoprotein, Lp(a)	2	
LPL	HDLCQ11, LIPD	lipoprotein lipase	4	
LPP		LIM domain containing preferred translocation partner in lipoma	2	
LRP1	A2MR, APOER, APR, CD91, IGFBP3R, LRP, LRP1A, TGFBR5	low density lipoprotein receptor-related protein 1	2	
LRP4	CLSS, CMS17, LRP-4, LRP10, MEGF7, SOST2	low density lipoprotein receptor-related protein 4	1	
LRP6	ADCAD2	low density lipoprotein receptor-related protein 6	3	
LRP5	BMND1, EVR1, EVR4, HBM, LR3, LRP-5, LRP7, OPPG, OPS, OPTA1, VBCH2	low density lipoprotein receptor-related protein 5	2	
LSP1	WP34, pp52	lymphocyte-specific protein 1	4	
LTA4H		leukotriene A4 hydrolase	2	
LTA	LT, TNFB, TNFSF1	lymphotoxin alpha	11	
LTB	TNFC, TNFSF3, p33	lymphotoxin beta (TNF superfamily, member 3)	4	
CYP4F3	CPF3, CYP4F, LTB4H	cytochrome P450, family 4, subfamily F, polypeptide 3	2	
LTBR	CD18, D12S370, LT-BETA-R, TNF-R-III, TNFCR, TNFR-RP, TNFR2-RP, TNFR3, TNFRSF3	lymphotoxin beta receptor (TNFR superfamily, member 3)	2	
LTF	GIG12, HEL110, HLF2, LF	lactotransferrin	3	
LUM	LDC, SLRR2D	lumican	1	
LY6E	RIG-E, RIGE, SCA-2, SCA2, TSA-1	lymphocyte antigen 6 complex, locus E	2	
LY9	CD229, SLAMF3, hly9, mLY9	lymphocyte antigen 9	1	
CD180	LY64, Ly78, RP105	CD180 molecule	3	
LY75	CD205, CLEC13B, DEC-205, GP200-MR6, LY-75	lymphocyte antigen 75	3	
LYN	JTK8, p53Lyn, p56Lyn	LYN proto-oncogene, Src family tyrosine kinase	2	
SH2D1A	DSHP, EBVS, IMD5, LYP, MTCP1, SAP, SAP/SH2D1A, XLP, XLPD, XLPD1	SH2 domain containing 1A	3	
LYZ	LZM	lysozyme	14	
MXD1	BHLHC58, MAD, MAD1	MAX dimerization protein 1	1	
SMAD1	BSP-1, BSP1, JV4-1, JV41, MADH1, MADR1	SMAD family member 1	1	
SMAD2	JV18, JV18-1, MADH2, MADR2, hMAD-2, hSMAD2	SMAD family member 2	2	
SMAD3	HSPC193, HsT17436, JV15-2, LDS1C, LDS3, MADH3	SMAD family member 3	6	
SMAD4	DPC4, JIP, MADH4, MYHRS	SMAD family member 4	3	
SMAD5	DWFC, JV5-1, MADH5	SMAD family member 5	2	
SMAD7	CRCS3, MADH7, MADH8	SMAD family member 7	5	
MAF	AYGRP, CCA4, CTRCT21, c-MAF	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog	3	
MAG	GMA, S-MAG, SIGLEC-4A, SIGLEC4A	myelin associated glycoprotein	1	
MAL		mal, T-cell differentiation protein	1	
MAN2A1	AMan II, GOLIM7, MANA2, MANII	mannosidase, alpha, class 2A, member 1	1	
MANBA	MANB1	mannosidase, beta A, lysosomal	2	
MAOA	MAO-A	monoamine oxidase A	1	
MAOB		monoamine oxidase B	1	
MAP2	MAP2A, MAP2B, MAP2C	microtubule-associated protein 2	1	
MAPT	DDPAC, FTDP-17, MAPTL, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU	microtubule-associated protein tau	1	
MAT1A	MAT, MATA1, SAMS, SAMS1	methionine adenosyltransferase I, alpha	1	
MATK	CHK, CTK, HHYLTK, HYL, HYLTK, Lsk	megakaryocyte-associated tyrosine kinase	1	
MATN1	CMP, CRTM	matrilin 1, cartilage matrix protein	1	
MB	PVALB, myoglobgin	myoglobin	1	
MBD1	CXXC3, PCM1, RFT	methyl-CpG binding domain protein 1	1	
MBL2	COLEC1, HSMBPC, MBL, MBL2D, MBP, MBP-C, MBP1, MBPD	mannose-binding lectin (protein C) 2, soluble	17	
MBP		myelin basic protein	6	
MC1R	CMM5, MSH-R, SHEP2	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)	3	
MC4R		melanocortin 4 receptor	1	
MCAM	CD146, MUC18	melanoma cell adhesion molecule	5	
MCL1	BCL2L3, EAT, MCL1-ES, MCL1L, MCL1S, Mcl-1, TM, bcl2-L-3, mcl1/EAT	myeloid cell leukemia 1	4	
MCM2	BM28, CCNL1, CDCL1, D3S3194, MITOTIN, cdc19	minichromosome maintenance complex component 2	2	
MCM7	CDC47, MCM2, P1.1-MCM3, P1CDC47, P85MCM, PNAS146, PPP1R104	minichromosome maintenance complex component 7	1	
CD46	AHUS2, MCP, MIC10, TLX, TRA2.10	CD46 molecule, complement regulatory protein	3	
MDM2	ACTFS, HDMX, hdm2	MDM2 proto-oncogene, E3 ubiquitin protein ligase	4	
MECP2	AUTSX3, MRX16, MRX79, MRXS13, MRXSL, PPMX, RS, RTS, RTT	methyl CpG binding protein 2	5	
MEF2A	ADCAD1, RSRFC4, RSRFC9, mef2	myocyte enhancer factor 2A	1	
MEF2D		myocyte enhancer factor 2D	1	
MEFV	FMF, MEF, TRIM20	Mediterranean fever	9	
MAP3K4	MAPKKK4, MEKK 4, MEKK4, MTK1, PRO0412	mitogen-activated protein kinase kinase kinase 4	1	
MAP3K5	ASK1, MAPKKK5, MEKK5	mitogen-activated protein kinase kinase kinase 5	2	
MEP1A	PPHA	meprin A, alpha (PABA peptide hydrolase)	1	
MET	AUTS9, DFNB97, HGFR, RCCP2, c-Met	MET proto-oncogene, receptor tyrosine kinase	2	
METTL1	C12orf1, TRM8, TRMT8, YDL201w	methyltransferase like 1	1	
MFGE8	BA46, EDIL1, HMFG, HsT19888, MFG-E8, MFGM, OAcGD3S, SED1, SPAG10, hP47	milk fat globule-EGF factor 8 protein	4	
MGAT1	GLCNAC-TI, GLCT1, GLYT1, GNT-1, GNT-I, MGAT	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	1	
MGAT5	GNT-V, GNT-VA	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	3	
KITLG	FPH2, FPHH, KL-1, Kitl, MGF, SCF, SF, SHEP7	KIT ligand	8	
MGMT		O-6-methylguanine-DNA methyltransferase	2	
MGP	GIG36, MGLAP, NTI	matrix Gla protein	2	
MGST2	GST2, MGST-II	microsomal glutathione S-transferase 2	1	
CIITA	C2TA, CIITAIV, MHC2TA, NLRA	class II, major histocompatibility complex, transactivator	12	
MICB	PERB11.2	MHC class I polypeptide-related sequence B	9	
MID1	BBBG1, FXY, GBBB1, MIDIN, OGS1, OS, OSX, RNF59, TRIM18, XPRF, ZNFXY	midline 1	1	
MIF	GIF, GLIF, MMIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	21	
CXCL9	CMK, Humig, MIG, SCYB9, crg-10	chemokine (C-X-C motif) ligand 9	13	
MITF	CMM8, MI, WS2, WS2A, bHLHe32	microphthalmia-associated transcription factor	2	
ATXN3	AT3, ATX3, JOS, MJD, MJD1, SCA3	ataxin 3	1	
MKI67	KIA, MIB-, MIB-1, PPP1R105	marker of proliferation Ki-67	1	
MLH1	COCA2, FCC2, HNPCC, HNPCC2, hMLH1	mutL homolog 1	1	
MLN		motilin	4	
MLLT1	ENL, LTG19, YEATS1	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 1	1	
MME	CALLA, CD10, NEP, SFE	membrane metallo-endopeptidase	4	
MMP1	CLG, CLGN	matrix metallopeptidase 1	4	
MMP2	CLG4, CLG4A, MMP-2, MMP-II, MONA, TBE-1	matrix metallopeptidase 2	7	
MMP3	CHDS6, MMP-3, SL-1, STMY, STMY1, STR1	matrix metallopeptidase 3	11	
MMP7	MMP-7, MPSL1, PUMP-1	matrix metallopeptidase 7	4	
MMP8	CLG1, HNC, MMP-8, PMNL-CL	matrix metallopeptidase 8	5	
MMP9	CLG4B, GELB, MANDP2, MMP-9	matrix metallopeptidase 9	10	
MMP10	SL-2, STMY2	matrix metallopeptidase 10	3	
MMP12	HME, ME, MME, MMP-12	matrix metallopeptidase 12	7	
MMP13	CLG3, MANDP1, MMP-13	matrix metallopeptidase 13	3	
MMP14	MMP-14, MMP-X1, MT-MMP, MT-MMP 1, MT1-MMP, MT1MMP, MTMMP1, WNCHRS	matrix metallopeptidase 14 (membrane-inserted)	2	
MMP19	MMP18, RASI-1	matrix metallopeptidase 19	1	
MN1	MGCR, MGCR1, MGCR1-PEN, dJ353E16.2	meningioma (disrupted in balanced translocation) 1	1	
MOBP		myelin-associated oligodendrocyte basic protein	1	
MOG	BTN6, BTNL11, MOGIG2, NRCLP7	myelin oligodendrocyte glycoprotein	4	
CD200	MOX1, MOX2, MRC, OX-2	CD200 molecule	4	
MPG	AAG, ADPG, APNG, CRA36.1, MDG, Mid1, PIG11, PIG16, anpg	N-methylpurine DNA glycosylase	1	
MPL	C-MPL, CD110, MPLV, THCYT2, TPOR	MPL proto-oncogene, thrombopoietin receptor	3	
MPO		myeloperoxidase	13	
MPZ	CHM, CMT1, CMT1B, CMT2I, CMT2J, CMT4E, CMTDI3, CMTDID, DSS, HMSNIB, MPP, P0	myelin protein zero	1	
MRC1	CD206, CLEC13D, CLEC13DL, MMR, MRC1L1, bA541I19.1	mannose receptor, C type 1	4	
MRE11A	ATLD, HNGS1, MRE11, MRE11B	MRE11 homolog, double strand break repair nuclease A	1	
ABCC1	ABC29, ABCC, GS-X, MRP, MRP1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	2	
MS	MS1	multiple sclerosis	1	
MSH2	COCA1, FCC1, HNPCC, HNPCC1, LCFS2	mutS homolog 2	2	
MSH5	G7, MUTSH5, NG23	mutS homolog 5	3	
MSI1		musashi RNA-binding protein 1	1	
MSMB	HPC13, IGBF, MSP, MSPB, PN44, PRPS, PSP, PSP-94, PSP57, PSP94	microseminoprotein, beta-	1	
MSN	HEL70	moesin	4	
MSRA	PMSR	methionine sulfoxide reductase A	2	
MST1	D3F15S2, DNF15S2, HGFL, MSP, NF15S2	macrophage stimulating 1	6	
MST1R	CD136, CDw136, PTK8, RON	macrophage stimulating 1 receptor	4	
MT1A	MT1, MT1S, MTC	metallothionein 1A	1	
MT1B	MT1, MT1Q, MTP	metallothionein 1B	1	
COX1	COI, MTCO1	cytochrome c oxidase subunit I	4	
COX2	COII, MTCO2	cytochrome c oxidase subunit II	7	
MTF1	MTF-1, ZRF	metal-regulatory transcription factor 1	1	
NUDT1	MTH1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	1	
MTHFD1	MTHFC, MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	1	
MTHFR		methylenetetrahydrofolate reductase (NAD(P)H)	21	
ND1	MTND1	NADH dehydrogenase, subunit 1 (complex I)	1	
ND2	MTND2	MTND2	1	
ND3	MTND3	NADH dehydrogenase, subunit 3 (complex I)	1	
ND4	MTND4	NADH dehydrogenase, subunit 4 (complex I)	2	
ND4L	MTND4L	NADH dehydrogenase, subunit 4L (complex I)	1	
ND6	MTND6	NADH dehydrogenase, subunit 6 (complex I)	1	
MTTP	ABL, MTP	microsomal triglyceride transfer protein	1	
MTRR	MSR, cblE	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	1	
TRNT	MTTT	tRNA	1	
MTX1	MTX, MTXN	metaxin 1	1	
MUC1	ADMCKD, ADMCKD1, CA 15-3, CD227, EMA, H23AG, KL-6, MAM6, MCD, MCKD, MCKD1, MUC-1, MUC-1/SEC, MUC-1/X, MUC1/ZD, PEM, PEMT, PUM	mucin 1, cell surface associated	6	
MUC2	MLP, MUC-2, SMUC	mucin 2, oligomeric mucus/gel-forming	2	
MUC3A	MUC-3A, MUC3	mucin 3A, cell surface associated	1	
MUC4	ASGP, HSA276359, MUC-4	mucin 4, cell surface associated	1	
MUC5AC	MUC5, TBM, leB, mucin	mucin 5AC, oligomeric mucus/gel-forming	1	
MUC6	MUC-6	mucin 6, oligomeric mucus/gel-forming	1	
MUSK	CMS9	muscle, skeletal, receptor tyrosine kinase	2	
MUTYH	MYH	mutY DNA glycosylase	2	
MX1	IFI-78K, IFI78, MX, MxA	MX dynamin-like GTPase 1	9	
MXI1	MAD2, MXD2, MXI, bHLHc11	MAX interactor 1, dimerization protein	1	
MYB	Cmyb, c-myb, c-myb_CDS, efg	v-myb avian myeloblastosis viral oncogene homolog	2	
MYBL2	B-MYB, BMYB	v-myb avian myeloblastosis viral oncogene homolog-like 2	1	
MYC	MRTL, MYCC, bHLHe39, c-Myc	v-myc avian myelocytomatosis viral oncogene homolog	7	
MYD88	MYD88D	myeloid differentiation primary response 88	8	
GADD45B	GADD45BETA, MYD118	growth arrest and DNA-damage-inducible, beta	3	
MYH7	CMD1S, CMH1, MPD1, MYHCB, SPMD, SPMM	myosin, heavy chain 7, cardiac muscle, beta	1	
MYH9	BDPLT6, DFNA17, EPSTS, FTNS, MHA, NMHC-II-A, NMMHC-IIA, NMMHCA	myosin, heavy chain 9, non-muscle	1	
MYLK	AAT7, KRP, MLCK, MLCK1, MLCK108, MLCK210, MSTP083, MYLK1, smMLCK	myosin light chain kinase	2	
MYO9B	CELIAC4, MYR5	myosin IXB	6	
MYOD1	MYF3, MYOD, PUM, bHLHc1	myogenic differentiation 1	1	
